Vector Size (2^28),Iteration,C Timing (s),Assembly Timing (s)
268435456,1,8.926000,22.478000
,2,23.029000,12.284000
,3,11.631000,1.037000
,4,2.021000,0.572000
,5,1.171000,0.519000
,6,1.160000,0.444000
,7,1.169000,0.455000
,8,1.172000,0.439000
,9,1.175000,0.444000
,10,1.230000,0.473000
,11,1.183000,0.446000
,12,1.160000,0.452000
,13,1.175000,0.445000
,14,1.166000,0.452000
,15,1.199000,0.447000
,16,1.348000,0.442000
,17,1.356000,0.449000
,18,2.585000,0.462000
,19,2.258000,0.465000
,20,1.905000,0.461000
,21,1.490000,0.462000
,22,1.343000,0.490000
,23,1.282000,0.468000
,24,1.421000,0.462000
,25,1.379000,0.467000
,26,1.306000,0.479000
,27,1.266000,0.443000
,28,1.725000,0.443000
,29,2.618000,0.464000
,30,1.953000,0.440000

, , Average Time (s): 2.793400, Average Time (s): 1.609467
